Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
11/15/2019,120.98,121.33,120.39,120.76,2330184,0,1,120.98,121.33,120.39,120.76,2330184
11/14/2019,120,120.98,119.8,120.93,1990576,0,1,120,120.98,119.8,120.93,1990576
11/13/2019,120.27,120.965,120.13,120.26,1838883,0,1,120.27,120.965,120.13,120.26,1838883
11/12/2019,120.87,121.225,120.41,120.89,2012434,0,1,120.87,121.225,120.41,120.89,2012434
11/11/2019,120.76,121.81,120.51,120.9,1704102,0,1,120.76,121.81,120.51,120.9,1704102
11/8/2019,121.01,121.81,120.89,121.47,1984615,0,1,121.01,121.81,120.89,121.47,1984615
11/7/2019,120.27,122.43,120.1,121.28,2845041,0,1,120.27,122.43,120.1,121.28,2845041
11/6/2019,118.89,119.72,118.89,119.69,2420671,0,1,118.89,119.72,118.89,119.69,2420671
11/5/2019,119.84,119.96,117.7567,118.77,2628878,0,1,119.84,119.96,117.7567,118.77,2628878
11/4/2019,119.62,120.5,119.01,119.62,1954702,0,1,119.62,120.5,119.01,119.62,1954702
11/1/2019,118.41,119.45,118.17,119.14,2036492,0,1,118.41,119.45,118.17,119.14,2036492
10/31/2019,117.79,118.21,116.89,117.28,2507443,0,1,117.79,118.21,116.89,117.28,2507443
10/30/2019,117.44,118.17,116.86,118.07,2264204,0,1,117.44,118.17,116.86,118.07,2264204
10/29/2019,118.09,118.8342,117.075,117.42,2753014,0,1,118.09,118.8342,117.075,117.42,2753014
10/28/2019,118.64,119.3,118.07,118.58,2551054,0,1,118.64,119.3,118.07,118.58,2551054
10/25/2019,116.36,118.51,116.27,118.26,2324665,0,1,116.36,118.51,116.27,118.26,2324665
10/24/2019,116.44,116.9,116.14,116.41,2621342,0,1,116.44,116.9,116.14,116.41,2621342
10/23/2019,118.42,119.23,115.51,116.49,3937591,0,1,118.42,119.23,115.51,116.49,3937591
10/22/2019,118.67,119.3498,118.29,118.61,3917049,0,1,118.67,119.3498,118.29,118.61,3917049
10/21/2019,117.55,119.38,117.49,119.05,4320295,0,1,117.55,119.38,117.49,119.05,4320295
10/18/2019,119.73,119.98,116.67,116.76,6188096,0,1,119.73,119.98,116.67,116.76,6188096
10/17/2019,118.01,119.33,117.9581,119.1,3023690,0,1,118.01,119.33,117.9581,119.1,3023690
10/16/2019,117.63,117.99,117.07,117.41,2147177,0,1,117.63,117.99,117.07,117.41,2147177
10/15/2019,117.03,118.1867,116.73,117.59,3071522,0,1,117.03,118.1867,116.73,117.59,3071522
10/14/2019,116.14,117,115.94,116.39,1882325,0,1,116.14,117,115.94,116.39,1882325
10/11/2019,116.74,117.57,116.185,116.4,2875905,0,1,116.74,117.57,116.185,116.4,2875905
10/10/2019,114.81,115.785,113.93,115.02,2396506,0,1,114.81,115.785,113.93,115.02,2396506
10/9/2019,113.25,114.77,113.23,113.92,2385471,0,1,113.25,114.77,113.23,113.92,2385471
10/8/2019,112.83,113.65,112.05,112.54,3803434,0,1,112.83,113.65,112.05,112.54,3803434
10/7/2019,113.91,114.65,113.6,113.65,2583036,0,1,113.91,114.65,113.6,113.65,2583036
10/4/2019,112.66,114.53,112.6,114.41,2753180,0,1,112.66,114.53,112.6,114.41,2753180
10/3/2019,112.2,112.955,111.06,112.55,3530987,0.43,1,112.2,112.955,111.06,112.55,3530987
10/2/2019,115.76,115.81,112.75,112.86,4931450,0,1,115.3194194,115.3692291,112.3208754,112.4304567,4931450
10/1/2019,118.7,119.5,116.61,116.7,2856628,0,1,118.2482298,119.045185,116.1661843,116.2558417,2856628
9/30/2019,119.05,119.24,118.14,118.28,2353631,0,1,118.5968977,118.7861745,117.6903611,117.8298283,2353631
9/27/2019,119.13,119.62,117.98,118.59,2909180,0,1,118.6765932,119.1647283,117.5309701,118.1386484,2909180
9/26/2019,119.31,120.025,118.84,118.91,3460103,0,1,118.8559081,119.5681868,118.3876969,118.4574305,3460103
9/25/2019,117.86,119.44,117.06,119.12,2759722,0,1,117.4114268,118.9854133,116.6144716,118.6666313,2759722
9/24/2019,118.89,120.2,117.52,118.17,5130164,0,1,118.4375066,119.7425208,117.0727208,117.7202469,5130164
9/23/2019,116.36,118.4223,116.1,118.24,5202701,0,1,115.9171358,117.9715867,115.6581253,117.7899805,5202701
9/20/2019,117.83,118.24,116.37,116.8,5342358,0,1,117.381541,117.7899805,115.9270977,116.3554611,5342358
9/19/2019,118.61,119.52,117.6,117.79,1994178,0,1,118.1585723,119.0651089,117.1524164,117.3416932,1994178
9/18/2019,118.59,118.8,117.47,118.74,2885008,0,1,118.1386484,118.3478492,117.0229111,118.2880775,2885008
9/17/2019,117.9,119.13,117.5,119.05,3075905,0,1,117.4512746,118.6765932,117.052797,118.5968977,3075905
9/16/2019,118.14,118.44,116.68,117.64,4276906,0,1,117.6903611,117.9892193,116.2359179,117.1922641,4276906
9/13/2019,119.24,119.97,118.29,119.2,3941062,0,1,118.7861745,119.5133962,117.8397902,118.7463268,3941062
9/12/2019,119,120.43,118.78,119.02,3733524,0,1,118.547088,119.9716454,118.3279253,118.5670119,3733524
9/11/2019,117.12,118.1,116.75,118,3670342,0,1,116.6742432,117.6505134,116.3056514,117.550894,3670342
9/10/2019,119.6,119.605,116.3,117.31,6196053,0,1,119.1448044,119.1497854,115.8573641,116.8635201,6196053
9/9/2019,121.21,121.41,119.52,119.92,5289485,0,1,120.7486768,120.9479156,119.0651089,119.4635865,5289485
9/6/2019,121.14,121.19,120,120.19,4552385,0,1,120.6789432,120.7287529,119.543282,119.7325589,4552385
9/5/2019,119.5,121.63,119.5,120.67,5261104,0,1,119.045185,121.1670782,119.045185,120.210732,5261104
9/4/2019,118.42,118.73,117.8,118.4,3746852,0,1,117.9692955,118.2781156,117.3516552,117.9493716,3746852
9/3/2019,119.86,120.28,117.52,117.6,3198656,0,1,119.4038148,119.8222163,117.0727208,117.1524164,3198656
8/30/2019,121.47,121.66,119.8201,120.37,2366225,0,1,121.0076872,121.1969641,119.3640667,119.9118738,2366225
8/29/2019,120.46,121.2,119.96,120.74,1901299,0,1,120.0015312,120.7387148,119.5034342,120.2804656,1901299
8/28/2019,117.03,119.31,116.97,119.09,2333369,0,1,116.5845858,118.8559081,116.5248141,118.6367454,2333369
8/27/2019,119.09,119.34,116.85,117.75,3145879,0,1,118.6367454,118.8857939,116.4052708,117.3018455,3145879
8/26/2019,118.33,118.94,117.38,118.53,3170604,0,1,117.879638,118.4873163,116.9332537,118.0788768,3170604
8/23/2019,122,122.045,117.06,117.76,4800387,0,1,121.53567,121.5804988,116.6144716,117.3118074,4800387
8/22/2019,123.31,123.71,121.77,122.27,2322069,0,1,122.8406842,123.2391618,121.3065454,121.8046424,2322069
8/21/2019,122.5,123.06,121.99,122.5,2948252,0,1,122.033767,122.5916357,121.5257081,122.033767,2948252
8/20/2019,123.63,123.78,121.34,121.42,3641621,0,1,123.1594663,123.3088954,120.878182,120.9578775,3641621
8/19/2019,126.1,126.15,124.34,124.4,3286669,0,1,125.6200655,125.6698752,123.866764,123.9265357,3286669
8/16/2019,123.5,124.75,122.69,124.63,2343272,0,1,123.0299611,124.2752036,122.2230439,124.1556603,2343272
8/15/2019,122.65,123,121.135,122.38,3031700,0,1,122.1831961,122.531864,120.6739622,121.9142238,3031700
8/14/2019,124.35,125.33,122.13,122.65,5625684,0,1,123.876726,124.8529961,121.6651753,122.1831961,5625684
