Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-11-15,58.17,58.7,57.62,57.96,15414399.0,0.0,1.0,58.17,58.7,57.62,57.96,15414399.0
2019-11-14,57.61,58.04,57.57,57.81,12141218.0,0.0,1.0,57.61,58.04,57.57,57.81,12141218.0
2019-11-13,57.87,57.97,57.35,57.89,15409832.0,0.0,1.0,57.87,57.97,57.35,57.89,15409832.0
2019-11-12,58.4,58.8,58.03,58.2,11954038.0,0.0,1.0,58.4,58.8,58.03,58.2,11954038.0
2019-11-11,57.97,58.5,57.9,58.35,11236365.0,0.0,1.0,57.97,58.5,57.9,58.35,11236365.0
2019-11-08,57.85,58.3,57.31,58.27,11890273.0,0.0,1.0,57.85,58.3,57.31,58.27,11890273.0
2019-11-07,58.0,58.55,57.855,58.05,16962846.0,0.0,1.0,58.0,58.55,57.855,58.05,16962846.0
2019-11-06,57.49,57.71,56.98,57.6,17720996.0,0.315,1.0,57.49,57.71,56.98,57.6,17720996.0
2019-11-05,57.47,58.35,57.21,57.55,20865354.0,0.0,1.0,57.15742035742036,58.032634032634036,56.898834498834496,57.236985236985234,20865354.0
2019-11-04,56.9303,57.8,56.85,57.61,19067981.0,0.0,1.0,56.62065578865579,57.485625485625484,56.540792540792545,57.2966588966589,19067981.0
2019-11-01,55.94,56.6465,55.62,56.51,17953467.0,0.0,1.0,55.635742035742034,56.33839937839938,55.31748251748252,56.2026418026418,17953467.0
2019-10-31,56.33,56.6,55.62,56.53,19249679.0,0.0,1.0,56.023620823620824,56.292152292152295,55.31748251748252,56.22253302253302,19249679.0
2019-10-30,56.32,56.63,55.615,56.6,15247999.0,0.0,1.0,56.013675213675214,56.32198912198913,55.312509712509716,56.292152292152295,15247999.0
2019-10-29,56.37,57.24,56.24,56.34,18155771.0,0.0,1.0,56.06340326340326,56.92867132867133,55.934110334110336,56.033566433566435,18155771.0
2019-10-28,56.38,56.81,56.06,56.76,32307512.0,0.0,1.0,56.07334887334888,56.5010101010101,55.75508935508936,56.45128205128205,32307512.0
2019-10-25,54.19,56.61,53.92,56.46,59767680.0,0.0,1.0,53.89526029526029,56.3020979020979,53.62672882672883,56.152913752913754,59767680.0
2019-10-24,52.09,52.43,51.43,52.23,25654058.0,0.0,1.0,51.80668220668221,52.14483294483294,51.15027195027195,51.945920745920745,25654058.0
2019-10-23,51.37,51.96,51.2,51.72,15961603.0,0.0,1.0,51.09059829059829,51.67738927738928,50.92152292152292,51.438694638694635,15961603.0
2019-10-22,51.9,52.32,51.8903,52.01,13347316.0,0.0,1.0,51.61771561771562,52.03543123543123,51.60806837606838,51.72711732711733,13347316.0
2019-10-21,51.52,52.17,51.34,52.13,12188997.0,0.0,1.0,51.239782439782445,51.88624708624709,51.06076146076146,51.846464646464646,12188997.0
2019-10-18,51.75,51.82,51.0291,51.36,16580955.0,0.0,1.0,51.46853146853147,51.53815073815074,50.75155244755245,51.08065268065268,16580955.0
2019-10-17,52.635,52.84,51.38,51.86,16918323.0,0.0,1.0,52.34871794871795,52.55260295260295,51.100543900543904,51.577933177933176,16918323.0
2019-10-16,52.35,52.56,52.12,52.445,15173069.0,0.0,1.0,52.065268065268064,52.27412587412588,51.836519036519036,52.15975135975136,15173069.0
2019-10-15,51.93,53.07,51.83,52.65,18970764.0,0.0,1.0,51.64755244755245,52.78135198135198,51.548096348096344,52.36363636363636,18970764.0
2019-10-14,51.9,51.95,51.44,51.64,16425533.0,0.0,1.0,51.61771561771562,51.66744366744367,51.16021756021756,51.35912975912976,16425533.0
2019-10-11,52.0,52.79,51.82,52.09,24167112.0,0.0,1.0,51.717171717171716,52.5028749028749,51.53815073815074,51.80668220668221,24167112.0
2019-10-10,50.41,51.775,50.4,51.11,14611658.0,0.0,1.0,50.13581973581973,51.49339549339549,50.12587412587413,50.832012432012434,14611658.0
2019-10-09,50.47,50.79,50.15,50.48,12189955.0,0.0,1.0,50.19549339549339,50.51375291375291,49.87723387723388,50.205439005439004,12189955.0
2019-10-08,50.16,50.48,49.61,49.725,17884433.0,0.0,1.0,49.88717948717948,50.205439005439004,49.34017094017094,49.45454545454545,17884433.0
2019-10-07,50.7,51.23,50.56,50.62,12722054.0,0.0,1.0,50.42424242424243,50.951359751359746,50.28500388500389,50.344677544677545,12722054.0
2019-10-04,50.35,50.97,50.03,50.92,12748071.0,0.0,1.0,50.07614607614608,50.69277389277389,49.75788655788656,50.64304584304585,12748071.0
2019-10-03,49.5,50.07,48.532,50.03,17235566.0,0.0,1.0,49.23076923076923,49.797668997669,48.268034188034186,49.75788655788656,17235566.0
2019-10-02,50.31,50.37,48.98,49.39,21436998.0,0.0,1.0,50.03636363636364,50.096037296037295,48.71359751359751,49.121367521367524,21436998.0
2019-10-01,51.97,52.24,50.43,50.76,18487336.0,0.0,1.0,51.687334887334885,51.955866355866355,50.15571095571096,50.483916083916085,18487336.0
2019-09-30,51.19,51.595,50.9384,51.53,14059201.0,0.0,1.0,50.91157731157731,51.314374514374514,50.661345765345764,51.24972804972805,14059201.0
2019-09-27,50.63,51.22,50.34,50.78,14846405.0,0.0,1.0,50.354623154623155,50.94141414141414,50.06620046620047,50.50380730380731,14846405.0
2019-09-26,50.98,51.145,50.34,50.92,11482105.0,0.0,1.0,50.702719502719496,50.86682206682207,50.06620046620047,50.64304584304585,11482105.0
2019-09-25,49.75,51.21,49.42,51.02,20120838.0,0.0,1.0,49.479409479409476,50.93146853146853,49.151204351204356,50.742501942501946,20120838.0
2019-09-24,51.1,51.18,49.64,49.82,28472934.0,0.0,1.0,50.82206682206682,50.9016317016317,49.37000777000777,49.54902874902875,28472934.0
