Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-11-15,131.25,134.97,130.78,134.94,8636941.0,0.0,1.0,131.25,134.97,130.78,134.94,8636941.0
2019-11-14,131.03,131.36,130.14,130.96,4217462.0,0.0,1.0,131.03,131.36,130.14,130.96,4217462.0
2019-11-13,131.04,131.487,130.72,131.27,5921189.0,0.0,1.0,131.04,131.487,130.72,131.27,5921189.0
2019-11-12,132.0,132.09,131.02,131.35,5228727.0,0.0,1.0,132.0,132.09,131.02,131.35,5228727.0
2019-11-11,132.27,132.5247,131.33,131.98,4368140.0,0.0,1.0,132.27,132.5247,131.33,131.98,4368140.0
2019-11-08,131.3,133.04,130.97,133.0,5002928.0,0.0,1.0,131.3,133.04,130.97,133.0,5002928.0
2019-11-07,131.73,132.38,131.01,131.43,5873726.0,0.0,1.0,131.73,132.38,131.01,131.43,5873726.0
2019-11-06,130.42,131.48,129.7,130.96,5449972.0,0.0,1.0,130.42,131.48,129.7,130.96,5449972.0
2019-11-05,130.53,131.47,129.68,130.42,6251180.0,0.0,1.0,130.53,131.47,129.68,130.42,6251180.0
2019-11-04,131.8,131.95,130.09,130.23,6139403.0,0.0,1.0,131.8,131.95,130.09,130.23,6139403.0
2019-11-01,132.05,133.0,131.14,131.2,5540679.0,0.0,1.0,132.05,133.0,131.14,131.2,5540679.0
2019-10-31,132.38,132.84,130.89,132.04,7686593.0,0.0,1.0,132.38,132.84,130.89,132.04,7686593.0
2019-10-30,133.3,133.53,131.73,132.84,9625878.0,0.0,1.0,133.3,133.53,131.73,132.84,9625878.0
2019-10-29,129.7,129.97,128.56,129.1244,4448464.0,0.0,1.0,129.7,129.97,128.56,129.1244,4448464.0
2019-10-28,128.62,130.0,128.51,129.18,7875903.0,0.0,1.0,128.62,130.0,128.51,129.18,7875903.0
2019-10-25,127.83,129.1,127.31,128.35,6946727.0,0.0,1.0,127.83,129.1,127.31,128.35,6946727.0
2019-10-24,130.42,130.58,126.1,127.5,12144516.0,0.0,1.0,130.42,130.58,126.1,127.5,12144516.0
2019-10-23,129.66,130.48,129.07,129.9,6721296.0,0.0,1.0,129.66,130.48,129.07,129.9,6721296.0
2019-10-22,128.76,130.54,128.09,129.2,7625439.0,0.0,1.0,128.76,130.54,128.09,129.2,7625439.0
2019-10-21,128.67,129.67,127.06,128.02,14106326.0,0.0,1.0,128.67,129.67,127.06,128.02,14106326.0
2019-10-18,133.31,134.3875,127.7,127.7,25866848.0,0.0,1.0,133.31,134.3875,127.7,127.7,25866848.0
2019-10-17,135.96,137.49,135.65,136.17,8612172.0,0.0,1.0,135.96,137.49,135.65,136.17,8612172.0
2019-10-16,134.9,136.59,133.8,135.17,12463359.0,0.0,1.0,134.9,136.59,133.8,135.17,12463359.0
2019-10-15,133.0,134.25,132.1,132.84,10044171.0,0.0,1.0,133.0,134.25,132.1,132.84,10044171.0
2019-10-14,131.36,131.36,130.42,130.72,5850110.0,0.0,1.0,131.36,131.36,130.42,130.72,5850110.0
2019-10-11,131.14,132.62,130.82,131.33,7187281.0,0.0,1.0,131.14,132.62,130.82,131.33,7187281.0
2019-10-10,128.95,130.1179,128.63,129.06,5265501.0,0.0,1.0,128.95,130.1179,128.63,129.06,5265501.0
2019-10-09,131.14,131.25,128.52,129.22,7851918.0,0.0,1.0,131.14,131.25,128.52,129.22,7851918.0
2019-10-08,132.45,133.265,131.49,131.84,7903562.0,0.0,1.0,132.45,133.265,131.49,131.84,7903562.0
2019-10-07,133.09,133.825,132.1446,133.16,5436611.0,0.0,1.0,133.09,133.825,132.1446,133.16,5436611.0
2019-10-04,131.34,133.72,131.25,133.66,7239215.0,0.0,1.0,131.34,133.72,131.25,133.66,7239215.0
2019-10-03,131.64,132.3715,130.01,131.19,7350005.0,0.0,1.0,131.64,132.3715,130.01,131.19,7350005.0
2019-10-02,132.76,134.7,131.22,132.0,12088624.0,0.0,1.0,132.76,134.7,131.22,132.0,12088624.0
2019-10-01,130.02,130.8,129.77,129.99,7703592.0,0.0,1.0,130.02,130.8,129.77,129.99,7703592.0
2019-09-30,129.07,130.28,129.0,129.38,6825480.0,0.0,1.0,129.07,130.28,129.0,129.38,6825480.0
2019-09-27,128.61,129.4,126.7,128.6,6006547.0,0.0,1.0,128.61,129.4,126.7,128.6,6006547.0
2019-09-26,131.09,131.3092,128.03,128.85,7705784.0,0.0,1.0,131.09,131.3092,128.03,128.85,7705784.0
2019-09-25,131.5,131.575,130.23,130.99,4559488.0,0.0,1.0,131.5,131.575,130.23,130.99,4559488.0
2019-09-24,132.1,132.78,131.34,131.55,7131378.0,0.0,1.0,132.1,132.78,131.34,131.55,7131378.0
2019-09-23,131.02,132.05,130.49,131.74,5420693.0,0.0,1.0,131.02,132.05,130.49,131.74,5420693.0
2019-09-20,131.0,132.0,130.29,131.65,12244854.0,0.0,1.0,131.0,132.0,130.29,131.65,12244854.0
2019-09-19,129.63,131.19,129.36,130.11,4857135.0,0.0,1.0,129.63,131.19,129.36,130.11,4857135.0
2019-09-18,129.9,130.56,128.78,130.41,4450470.0,0.0,1.0,129.9,130.56,128.78,130.41,4450470.0
2019-09-17,129.6,130.5,129.11,129.67,5002481.0,0.0,1.0,129.6,130.5,129.11,129.67,5002481.0
2019-09-16,130.11,130.75,129.33,129.54,5101689.0,0.0,1.0,130.11,130.75,129.33,129.54,5101689.0
2019-09-13,131.33,131.57,129.96,130.78,5369774.0,0.0,1.0,131.33,131.57,129.96,130.78,5369774.0
2019-09-12,131.36,131.77,130.06,130.43,5249672.0,0.0,1.0,131.36,131.77,130.06,130.43,5249672.0
2019-09-11,129.86,131.28,129.08,131.17,6201271.0,0.0,1.0,129.86,131.28,129.08,131.17,6201271.0
2019-09-10,127.37,129.55,126.34,129.55,8239477.0,0.0,1.0,127.37,129.55,126.34,129.55,8239477.0
2019-09-09,128.0,128.16,126.59,126.95,7683867.0,0.0,1.0,128.0,128.16,126.59,126.95,7683867.0
2019-09-06,128.88,129.23,128.07,128.21,6758329.0,0.0,1.0,128.88,129.23,128.07,128.21,6758329.0
2019-09-05,129.9,129.9,128.31,128.58,4754074.0,0.0,1.0,129.9,129.9,128.31,128.58,4754074.0
2019-09-04,129.49,129.59,128.08,128.86,4807203.0,0.0,1.0,129.49,129.59,128.08,128.86,4807203.0
2019-09-03,127.99,128.98,127.51,128.74,5710209.0,0.0,1.0,127.99,128.98,127.51,128.74,5710209.0
2019-08-30,128.27,129.1,127.62,128.36,7371081.0,0.0,1.0,128.27,129.1,127.62,128.36,7371081.0
2019-08-29,128.84,129.2,126.83,128.24,6749890.0,0.0,1.0,128.84,129.2,126.83,128.24,6749890.0
2019-08-28,127.86,128.87,127.01,128.68,9885221.0,0.0,1.0,127.86,128.87,127.01,128.68,9885221.0
2019-08-27,129.88,132.4,129.1,129.64,20186781.0,0.0,1.0,129.88,132.4,129.1,129.64,20186781.0
2019-08-26,127.42,128.08,126.63,127.8,8894690.0,0.95,1.0,127.42,128.08,126.63,127.8,8894690.0
2019-08-23,131.07,131.26,127.13,127.73,15714276.0,0.0,1.0,130.1028815534,130.29147961165,126.19195339806,126.78752621359,15714276.0
2019-08-22,131.6,132.13,130.8007,131.27,7213538.0,0.0,1.0,130.62897087379,131.15506019417,129.83556862136,130.30140582524,7213538.0
2019-08-21,131.7,132.41,130.85,131.53,6912851.0,0.0,1.0,130.72823300971,131.43299417476,129.88450485437,130.55948737864,6912851.0
2019-08-20,131.96,132.66,130.46,130.6,7302010.0,0.0,1.0,130.98631456311,131.68114951456,129.49738252427,129.63634951456,7302010.0
2019-08-19,132.5,132.57,131.82,132.25,4957986.0,0.0,1.0,131.52233009709,131.59181359223,130.84734757282,131.27417475728,4957986.0
2019-08-16,131.47,131.67,130.595,131.36,5858863.0,0.0,1.0,130.49993009709,130.69845436893,129.63138640777,130.39074174757,5858863.0
2019-08-15,130.17,131.07,129.25,130.54,7251225.0,0.0,1.0,129.2095223301,130.1028815534,128.29631067961,129.57679223301,7251225.0
2019-08-14,132.53,132.54,130.13,130.26,7736220.0,0.0,1.0,131.55210873786,131.56203495146,129.16981747573,129.29885825243,7736220.0
