Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-11-15,129.23,129.53,128.4,129.53,9330530.0,0.0,1.0,129.23,129.53,128.4,129.53,9330530.0
2019-11-14,127.72,128.84,127.59,128.6,8483395.0,0.0,1.0,127.72,128.84,127.59,128.6,8483395.0
2019-11-13,128.13,128.815,127.42,128.48,8096654.0,0.0,1.0,128.13,128.815,127.42,128.48,8096654.0
2019-11-12,129.63,130.62,129.01,129.16,9098990.0,0.0,1.0,129.63,130.62,129.01,129.16,9098990.0
2019-11-11,129.6,130.1,129.35,129.92,8679006.0,0.0,1.0,129.6,130.1,129.35,129.92,8679006.0
2019-11-08,129.88,130.4,129.25,130.38,9293368.0,0.0,1.0,129.88,130.4,129.25,130.38,9293368.0
2019-11-07,130.43,131.29,129.92,130.0,13527401.0,0.0,1.0,130.43,131.29,129.92,130.0,13527401.0
2019-11-06,128.69,129.84,128.58,129.3,11231073.0,0.0,1.0,128.69,129.84,128.58,129.3,11231073.0
2019-11-05,129.39,130.3,128.84,129.1,13740603.0,0.0,1.0,129.39,130.3,128.84,129.1,13740603.0
2019-11-04,129.08,129.42,128.5601,128.82,9158648.0,0.0,1.0,129.08,129.42,128.5601,128.82,9158648.0
2019-11-01,126.2,127.9852,126.02,127.8,11675083.0,0.0,1.0,126.2,127.9852,126.02,127.8,11675083.0
2019-10-31,125.49,125.73,123.86,124.92,11589021.0,0.0,1.0,125.49,125.73,123.86,124.92,11589021.0
2019-10-30,126.05,126.26,124.916,125.73,8513252.0,0.0,1.0,126.05,126.26,124.916,125.73,8513252.0
2019-10-29,126.06,127.42,125.94,126.43,9680627.0,0.0,1.0,126.06,127.42,125.94,126.43,9680627.0
2019-10-28,126.57,127.21,126.4,126.51,9370791.0,0.0,1.0,126.57,127.21,126.4,126.51,9370791.0
2019-10-25,125.0,126.65,124.75,126.03,9053809.0,0.0,1.0,125.0,126.65,124.75,126.03,9053809.0
2019-10-24,125.29,125.66,124.07,125.03,8054250.0,0.0,1.0,125.29,125.66,124.07,125.03,8054250.0
2019-10-23,124.2,125.15,124.165,125.12,9395088.0,0.0,1.0,124.2,125.15,124.165,125.12,9395088.0
2019-10-22,123.45,125.1,123.12,124.79,12654722.0,0.0,1.0,123.45,125.1,123.12,124.79,12654722.0
2019-10-21,122.05,123.77,121.99,123.55,13269316.0,0.0,1.0,122.05,123.77,121.99,123.55,13269316.0
2019-10-18,120.0,121.02,119.86,120.56,10417417.0,0.0,1.0,120.0,121.02,119.86,120.56,10417417.0
2019-10-17,120.75,121.57,119.88,120.35,11063087.0,0.0,1.0,120.75,121.57,119.88,120.35,11063087.0
2019-10-16,119.96,120.62,119.38,119.68,11630767.0,0.0,1.0,119.96,120.62,119.38,119.68,11630767.0
2019-10-15,118.85,121.59,117.87,119.96,30519044.0,0.0,1.0,118.85,121.59,117.87,119.96,30519044.0
2019-10-14,115.85,116.87,115.66,116.45,8864899.0,0.0,1.0,115.85,116.87,115.66,116.45,8864899.0
2019-10-11,116.03,117.99,115.865,116.14,15187536.0,0.0,1.0,116.03,117.99,115.865,116.14,15187536.0
2019-10-10,113.14,115.4,113.0,114.21,11169000.0,0.0,1.0,113.14,115.4,113.0,114.21,11169000.0
2019-10-09,112.67,113.16,112.07,112.63,7331896.0,0.0,1.0,112.67,113.16,112.07,112.63,7331896.0
2019-10-08,113.06,113.06,111.66,111.82,11587216.0,0.0,1.0,113.06,113.06,111.66,111.82,11587216.0
2019-10-07,114.19,115.5,114.07,114.37,6807677.0,0.0,1.0,114.19,115.5,114.07,114.37,6807677.0
2019-10-04,112.34,114.94,112.27,114.62,9619571.0,0.0,1.0,112.34,114.94,112.27,114.62,9619571.0
2019-10-03,112.27,112.91,110.52,112.19,13018567.0,0.9,1.0,112.27,112.91,110.52,112.19,13018567.0
2019-10-02,114.81,114.9,112.93,113.25,12621579.0,0.0,1.0,113.89631178707225,113.98559554337254,112.03127332213282,112.34872667786719,12621579.0
2019-10-01,118.4,119.0,115.41,115.55,11327235.0,0.0,1.0,117.45774162171722,118.05296666371916,114.49153682907418,114.63042267220797,11327235.0
2019-09-30,118.36,118.77,117.215,117.69,9799593.0,0.0,1.0,117.41805995225042,117.82479706428508,116.28217216376338,116.75339198868157,9799593.0
