Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-11-15,171.66,172.69,171.04,171.88,2556350.0,0.0,1.0,171.66,172.69,171.04,171.88,2556350.0
2019-11-14,169.98,172.32,169.93,170.93,1613887.0,0.0,1.0,169.98,172.32,169.93,170.93,1613887.0
2019-11-13,170.11,171.39,169.58,170.55,1830831.0,0.0,1.0,170.11,171.39,169.58,170.55,1830831.0
2019-11-12,170.36,172.07,170.03,170.84,1740440.0,0.0,1.0,170.36,172.07,170.03,170.84,1740440.0
2019-11-11,172.5,172.5,169.65,170.11,2664267.0,0.0,1.0,172.5,172.5,169.65,170.11,2664267.0
2019-11-08,174.58,174.87,172.11,173.15,1615587.0,0.0,1.0,174.58,174.87,172.11,173.15,1615587.0
2019-11-07,175.73,176.71,173.79,174.52,3358722.0,0.0,1.0,175.73,176.71,173.79,174.52,3358722.0
2019-11-06,174.91,175.0,172.36,174.0,3011738.0,0.0,1.0,174.91,175.0,172.36,174.0,3011738.0
2019-11-05,175.0,175.46,173.77,175.27,2303316.0,0.0,1.0,175.0,175.46,173.77,175.27,2303316.0
2019-11-04,171.62,175.0,171.62,174.9,4139968.0,0.0,1.0,171.62,175.0,171.62,174.9,4139968.0
2019-11-01,166.94,170.15,166.72,170.09,2467437.0,0.0,1.0,166.94,170.15,166.72,170.09,2467437.0
2019-10-31,168.51,168.56,163.55,164.99,2653127.0,0.0,1.0,168.51,168.56,163.55,164.99,2653127.0
2019-10-30,168.23,168.57,167.03,168.37,1780050.0,0.0,1.0,168.23,168.57,167.03,168.37,1780050.0
2019-10-29,168.03,169.95,167.51,168.81,2669180.0,0.0,1.0,168.03,169.95,167.51,168.81,2669180.0
2019-10-28,166.48,169.71,166.2,169.06,3137474.0,0.0,1.0,166.48,169.71,166.2,169.06,3137474.0
2019-10-25,162.51,167.63,162.13,166.09,3104747.0,0.0,1.0,162.51,167.63,162.13,166.09,3104747.0
2019-10-24,165.16,165.25,159.6311,161.89,5959394.0,0.0,1.0,165.16,165.25,159.6311,161.89,5959394.0
2019-10-23,167.41,168.76,166.56,168.76,2716963.0,0.0,1.0,167.41,168.76,166.56,168.76,2716963.0
2019-10-22,166.27,168.905,165.1,167.54,2083630.0,0.0,1.0,166.27,168.905,165.1,167.54,2083630.0
2019-10-21,165.47,166.15,164.76,165.94,2011589.0,0.0,1.0,165.47,166.15,164.76,165.94,2011589.0
