Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-11-15,148.93,149.99,148.27,149.97,23357309.0,0.0,1.0,148.93,149.99,148.27,149.97,23357309.0
2019-11-14,147.02,148.41,147.0,148.06,19755100.0,0.0,1.0,147.02,148.41,147.0,148.06,19755100.0
2019-11-13,146.74,147.4625,146.28,147.31,17444230.0,0.0,1.0,146.74,147.4625,146.28,147.31,17444230.0
2019-11-12,146.28,147.57,146.06,147.07,18648712.0,0.0,1.0,146.28,147.57,146.06,147.07,18648712.0
2019-11-11,145.34,146.42,144.73,146.11,14370178.0,0.0,1.0,145.34,146.42,144.73,146.11,14370178.0
2019-11-08,143.98,145.99,143.76,145.96,16752939.0,0.0,1.0,143.98,145.99,143.76,145.96,16752939.0
2019-11-07,143.84,144.88,143.77,144.26,17786715.0,0.0,1.0,143.84,144.88,143.77,144.26,17786715.0
2019-11-06,144.37,144.52,143.2,144.06,16575798.0,0.0,1.0,144.37,144.52,143.2,144.06,16575798.0
2019-11-05,144.97,145.02,143.905,144.46,18250172.0,0.0,1.0,144.97,145.02,143.905,144.46,18250172.0
2019-11-04,144.83,145.0,144.16,144.55,16911999.0,0.0,1.0,144.83,145.0,144.16,144.55,16911999.0
2019-11-01,144.26,144.42,142.965,143.72,33128366.0,0.0,1.0,144.26,144.42,142.965,143.72,33128366.0
2019-10-31,144.9,144.93,142.99,143.37,24605135.0,0.0,1.0,144.9,144.93,142.99,143.37,24605135.0
2019-10-30,143.52,145.0,142.79,144.61,18496591.0,0.0,1.0,143.52,145.0,142.79,144.61,18496591.0
2019-10-29,144.08,144.5,142.65,142.83,20589469.0,0.0,1.0,144.08,144.5,142.65,142.83,20589469.0
2019-10-28,144.4,145.67,143.51,144.19,35280137.0,0.0,1.0,144.4,145.67,143.51,144.19,35280137.0
2019-10-25,139.34,141.14,139.2,140.73,25959724.0,0.0,1.0,139.34,141.14,139.2,140.73,25959724.0
2019-10-24,139.39,140.42,138.67,139.94,37278399.0,0.0,1.0,139.39,140.42,138.67,139.94,37278399.0
2019-10-23,136.88,137.45,135.61,137.24,31380309.0,0.0,1.0,136.88,137.45,135.61,137.24,31380309.0
2019-10-22,138.97,140.01,136.26,136.37,27935270.0,0.0,1.0,138.97,140.01,136.26,136.37,27935270.0
2019-10-21,138.45,138.5,137.01,138.43,20078066.0,0.0,1.0,138.45,138.5,137.01,138.43,20078066.0
2019-10-18,139.76,140.0,136.56,137.41,30650850.0,0.0,1.0,139.76,140.0,136.56,137.41,30650850.0
2019-10-17,140.95,141.42,139.02,139.69,22102797.0,0.0,1.0,140.95,141.42,139.02,139.69,22102797.0
2019-10-16,140.79,140.99,139.53,140.41,20841687.0,0.0,1.0,140.79,140.99,139.53,140.41,20841687.0
2019-10-15,140.06,141.79,139.81,141.575,19917762.0,0.0,1.0,140.06,141.79,139.81,141.575,19917762.0
2019-10-14,139.69,140.29,139.52,139.55,13591639.0,0.0,1.0,139.69,140.29,139.52,139.55,13591639.0
2019-10-11,140.12,141.03,139.5,139.68,25551065.0,0.0,1.0,140.12,141.03,139.5,139.68,25551065.0
2019-10-10,138.49,139.6699,138.25,139.1,18396605.0,0.0,1.0,138.49,139.6699,138.25,139.1,18396605.0
2019-10-09,137.46,138.7,136.97,138.24,20178482.0,0.0,1.0,137.46,138.7,136.97,138.24,20178482.0
2019-10-08,137.08,137.76,135.62,135.67,26783336.0,0.0,1.0,137.08,137.76,135.62,135.67,26783336.0
2019-10-07,137.14,138.18,137.02,137.12,16601284.0,0.0,1.0,137.14,138.18,137.02,137.12,16601284.0
2019-10-04,136.75,138.25,136.42,138.12,23839548.0,0.0,1.0,136.75,138.25,136.42,138.12,23839548.0
2019-10-03,134.95,136.75,133.22,136.28,26379798.0,0.0,1.0,134.95,136.75,133.22,136.28,26379798.0
2019-10-02,136.25,136.37,133.5799,134.65,32001763.0,0.0,1.0,136.25,136.37,133.5799,134.65,32001763.0
