Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-11-15,120.99,120.99,119.97,120.54,6065881.0,0.0,1.0,120.99,120.99,119.97,120.54,6065881.0
2019-11-14,120.62,121.17,120.114,120.5,5188323.0,0.0,1.0,120.62,121.17,120.114,120.5,5188323.0
2019-11-13,119.9,121.05,119.87,120.65,7279454.0,0.0,1.0,119.9,121.05,119.87,120.65,7279454.0
2019-11-12,119.49,119.6,118.545,119.27,4759405.0,0.0,1.0,119.49,119.6,118.545,119.27,4759405.0
2019-11-11,119.48,120.0,119.09,119.33,3850358.0,0.0,1.0,119.48,120.0,119.09,119.33,3850358.0
2019-11-08,119.85,120.59,119.16,119.7,4249862.0,0.0,1.0,119.85,120.59,119.16,119.7,4249862.0
2019-11-07,120.34,120.34,118.81,119.62,8909742.0,0.0,1.0,120.34,120.34,118.81,119.62,8909742.0
2019-11-06,119.1,120.35,118.66,120.32,6755900.0,0.0,1.0,119.1,120.35,118.66,120.32,6755900.0
2019-11-05,118.83,119.585,118.2368,118.9,9234478.0,0.0,1.0,118.83,119.585,118.2368,118.9,9234478.0
2019-11-04,123.92,123.92,118.64,119.07,10350034.0,0.0,1.0,123.92,123.92,118.64,119.07,10350034.0
2019-11-01,124.83,125.138,123.245,123.87,6010114.0,0.0,1.0,124.83,125.138,123.245,123.87,6010114.0
2019-10-31,124.79,125.448,123.355,124.51,6399419.0,0.0,1.0,124.79,125.448,123.355,124.51,6399419.0
2019-10-30,123.99,125.17,123.5,124.94,4734422.0,0.0,1.0,123.99,125.17,123.5,124.94,4734422.0
2019-10-29,123.2,124.56,123.1,123.6,5659825.0,0.0,1.0,123.2,124.56,123.1,123.6,5659825.0
2019-10-28,123.48,124.12,122.6,123.48,5459130.0,0.0,1.0,123.48,124.12,122.6,123.48,5459130.0
2019-10-25,124.82,124.82,123.17,123.25,6092239.0,0.0,1.0,124.82,124.82,123.17,123.25,6092239.0
2019-10-24,123.76,125.77,123.34,124.79,6745650.0,0.0,1.0,123.76,125.77,123.34,124.79,6745650.0
2019-10-23,121.99,123.73,121.84,123.0,8319580.0,0.0,1.0,121.99,123.73,121.84,123.0,8319580.0
2019-10-22,124.0,124.22,121.6,122.18,14487778.0,0.0,1.0,124.0,124.22,121.6,122.18,14487778.0
2019-10-21,117.42,119.12,117.35,119.08,7218664.0,0.0,1.0,117.42,119.12,117.35,119.08,7218664.0
2019-10-18,116.55,117.75,116.1713,117.47,9016429.0,0.0,1.0,116.55,117.75,116.1713,117.47,9016429.0
2019-10-17,117.31,117.64,116.55,116.63,5993352.0,0.7459,1.0,117.31,117.64,116.55,116.63,5993352.0
2019-10-16,117.67,117.77,116.505,117.53,7997695.0,0.0,1.0,116.92223105424537,117.02159557456001,115.76463439257972,116.78312072580486,7997695.0
2019-10-15,120.19,120.56,116.7,117.2,11174737.0,0.0,1.0,119.42621696617448,119.79386569133868,115.95839520719329,116.45521780876653,11174737.0
2019-10-14,121.62,121.62,119.58,120.05,7383413.0,0.0,1.0,120.84712960667395,120.84712960667395,118.82009339225513,119.28710663773397,7383413.0
2019-10-11,122.04,122.06,120.82,121.09,6301551.0,0.0,1.0,121.26446059199546,121.28433349605838,120.05221344415675,120.32049764900631,6301551.0
