Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-11-15,120.68,121.0,118.38,118.87,9994478.0,0.0,1.0,120.68,121.0,118.38,118.87,9994478.0
2019-11-14,124.6,125.38,119.51,120.65,22504031.0,0.0,1.0,124.6,125.38,119.51,120.65,22504031.0
2019-11-13,119.16,121.36,118.66,120.98,8009699.0,0.0,1.0,119.16,121.36,118.66,120.98,8009699.0
2019-11-12,119.6,120.0,118.8096,119.12,5062371.0,0.0,1.0,119.6,120.0,118.8096,119.12,5062371.0
2019-11-11,118.7,119.63,118.28,119.04,4438614.0,0.0,1.0,118.7,119.63,118.28,119.04,4438614.0
2019-11-08,120.31,120.88,118.94,119.44,3832703.0,0.0,1.0,120.31,120.88,118.94,119.44,3832703.0
2019-11-07,120.0,120.92,119.54,120.23,4440348.0,0.0,1.0,120.0,120.92,119.54,120.23,4440348.0
2019-11-06,118.83,119.62,118.71,119.5,3613249.0,0.0,1.0,118.83,119.62,118.71,119.5,3613249.0
2019-11-05,117.68,119.14,117.075,118.86,4212739.0,0.0,1.0,117.68,119.14,117.075,118.86,4212739.0
2019-11-04,118.4,119.11,117.17,117.57,4642893.0,0.0,1.0,118.4,119.11,117.17,117.57,4642893.0
2019-11-01,117.92,117.97,117.23,117.62,3762593.0,0.0,1.0,117.92,117.97,117.23,117.62,3762593.0
2019-10-31,117.93,118.28,116.83,117.26,4880562.0,0.0,1.0,117.93,118.28,116.83,117.26,4880562.0
2019-10-30,117.18,118.37,117.051,118.1,2995953.0,0.0,1.0,117.18,118.37,117.051,118.1,2995953.0
2019-10-29,118.5,118.73,117.08,117.15,4790070.0,0.0,1.0,118.5,118.73,117.08,117.15,4790070.0
2019-10-28,119.25,119.7,118.53,119.22,3404322.0,0.0,1.0,119.25,119.7,118.53,119.22,3404322.0
2019-10-25,119.0,119.3254,118.2,119.04,2564097.0,0.0,1.0,119.0,119.3254,118.2,119.04,2564097.0
2019-10-24,119.15,119.5675,118.51,119.1,2921986.0,0.0,1.0,119.15,119.5675,118.51,119.1,2921986.0
2019-10-23,119.17,119.85,118.69,119.35,2867230.0,0.0,1.0,119.17,119.85,118.69,119.35,2867230.0
2019-10-22,119.75,120.17,119.3887,119.58,2596192.0,0.0,1.0,119.75,120.17,119.3887,119.58,2596192.0
2019-10-21,119.3,119.83,118.82,119.74,3472160.0,0.0,1.0,119.3,119.83,118.82,119.74,3472160.0
2019-10-18,120.45,120.6,119.13,119.14,5592284.0,0.0,1.0,120.45,120.6,119.13,119.14,5592284.0
2019-10-17,119.67,120.25,119.3581,119.84,3960525.0,0.0,1.0,119.67,120.25,119.3581,119.84,3960525.0
2019-10-16,119.31,120.109,119.1,119.42,4144259.0,0.0,1.0,119.31,120.109,119.1,119.42,4144259.0
2019-10-15,119.33,119.99,118.87,119.53,5385156.0,0.0,1.0,119.33,119.99,118.87,119.53,5385156.0
2019-10-14,119.85,120.46,119.1,119.17,4600222.0,0.0,1.0,119.85,120.46,119.1,119.17,4600222.0
2019-10-11,119.92,120.71,118.72,120.24,6148892.0,0.0,1.0,119.92,120.71,118.72,120.24,6148892.0
2019-10-10,118.9,119.88,118.6,119.61,4397045.0,0.0,1.0,118.9,119.88,118.6,119.61,4397045.0
2019-10-09,118.18,119.3,118.02,118.93,3929994.0,0.0,1.0,118.18,119.3,118.02,118.93,3929994.0
2019-10-08,116.81,118.67,116.66,117.58,5546133.0,0.0,1.0,116.81,118.67,116.66,117.58,5546133.0
