Date,Open,High,Low,Close,Volume,Dividend,Split,Adj_Open,Adj_High,Adj_Low,Adj_Close,Adj_Volume
2019-11-15,68.71,69.3,68.67,69.19,10851500.0,0.0,1.0,68.71,69.3,68.67,69.19,10851500.0
2019-11-14,68.86,68.97,68.18,68.5,11279811.0,0.0,1.0,68.86,68.97,68.18,68.5,11279811.0
2019-11-13,69.02,69.15,68.6,68.8,12041380.0,0.0,1.0,69.02,69.15,68.6,68.8,12041380.0
2019-11-12,70.27,70.41,68.98,69.37,13916557.0,0.0,1.0,70.27,70.41,68.98,69.37,13916557.0
2019-11-11,70.21,70.61,69.97,70.34,8674048.0,0.0,1.0,70.21,70.61,69.97,70.34,8674048.0
2019-11-08,71.61,71.8,70.66,70.77,12105990.0,0.87,1.0,71.61,71.8,70.66,70.77,12105990.0
2019-11-07,72.03,73.03,72.0,73.01,13070783.0,0.0,1.0,71.15526381909548,72.14311976549413,71.12562814070351,72.12336264656616,13070783.0
2019-11-06,72.73,72.87,71.2,71.49,13989884.0,0.0,1.0,71.84676298157454,71.98506281407035,70.33534338358459,70.6218216080402,13989884.0
2019-11-05,72.04,73.12,71.85,73.09,14919813.0,0.0,1.0,71.16514237855947,72.23202680067001,70.97744974874371,72.20239112227806,14919813.0
2019-11-04,70.07,71.87,69.94,71.67,15851994.0,0.0,1.0,69.2190661641541,70.9972068676717,69.09064489112227,70.79963567839197,15851994.0
2019-11-01,68.39,69.605,68.31,69.6,14106381.0,0.0,1.0,67.55946817420435,68.75971314907873,67.48043969849246,68.75477386934672,14106381.0
2019-10-31,67.46,67.72,67.14,67.57,16161748.0,0.0,1.0,66.6407621440536,66.89760469011725,66.32464824120603,66.74942629815745,16161748.0
2019-10-30,68.37,68.37,67.27,67.72,12823843.0,0.0,1.0,67.53971105527638,67.53971105527638,66.45306951423785,66.89760469011725,12823843.0
2019-10-29,68.48,69.03,68.24,68.44,13893458.0,0.0,1.0,67.64837520938023,68.19169597989949,67.41128978224455,67.60886097152428,13893458.0
2019-10-28,69.46,69.67,68.585,68.64,11209068.0,0.0,1.0,68.61647403685092,68.82392378559464,67.75210008375208,67.80643216080402,11209068.0
2019-10-25,68.9,69.48,68.9,69.25,7606127.0,0.0,1.0,68.06327470686767,68.6362311557789,68.06327470686767,68.4090242881072,7606127.0
2019-10-24,69.96,70.05,69.02,69.09,9068419.0,0.0,1.0,69.11040201005024,69.19930904522613,68.18181742043551,68.25096733668342,9068419.0
2019-10-23,68.96,69.76,68.78,69.75,8716016.0,0.0,1.0,68.12254606365158,68.91283082077052,67.94473199329983,68.90295226130652,8716016.0
2019-10-22,68.78,69.76,68.65,69.09,9500873.0,0.0,1.0,67.94473199329983,68.91283082077052,67.816310720268,68.25096733668342,9500873.0
2019-10-21,67.82,68.77,67.82,68.74,10470131.0,0.0,1.0,66.99639028475711,67.93485343383584,66.99639028475711,67.90521775544387,10470131.0
2019-10-18,67.87,68.15,67.61,67.61,13471979.0,0.0,1.0,67.04578308207705,67.32238274706867,66.7889405360134,66.7889405360134,13471979.0
2019-10-17,68.48,68.8847,68.08,68.14,9928210.0,0.0,1.0,67.64837520938023,68.04816051088777,67.25323283082076,67.31250418760469,9928210.0
2019-10-16,69.21,69.53,68.21,68.23,9810633.0,0.0,1.0,68.36951005025125,68.68562395309883,67.38165410385258,67.40141122278057,9810633.0
2019-10-15,69.06,70.0,69.01,69.42,6653731.0,0.0,1.0,68.22133165829146,69.14991624790619,68.17193886097152,68.57695979899498,6653731.0
2019-10-14,68.6,69.37,68.59,69.18,6862767.0,0.0,1.0,67.76691792294807,68.52756700167504,67.75703936348408,68.3398743718593,6862767.0
2019-10-11,68.98,69.49,68.885,68.98,10171168.0,0.0,1.0,68.14230318257957,68.64610971524287,68.04845686767169,68.14230318257957,10171168.0
2019-10-10,67.43,68.36,67.38,68.25,8443172.0,0.0,1.0,66.61112646566164,67.52983249581239,66.5617336683417,67.42116834170854,8443172.0
2019-10-09,67.3,67.7,67.2,67.44,8616833.0,0.0,1.0,66.48270519262981,66.87784757118928,66.38391959798994,66.62100502512563,8616833.0
2019-10-08,67.54,67.92,66.64,66.7,10348155.0,0.0,1.0,66.7197906197655,67.09517587939699,65.8307202680067,65.88999162479062,10348155.0
2019-10-07,68.7,69.03,68.02,68.02,11574426.0,0.0,1.0,67.86570351758795,68.19169597989949,67.19396147403684,67.19396147403684,11574426.0
2019-10-04,68.11,69.07,67.82,68.97,10585544.0,0.0,1.0,67.28286850921273,68.23121021775543,66.99639028475711,68.13242462311557,10585544.0
2019-10-03,67.0,68.0,66.305,67.98,12679281.0,0.0,1.0,66.18634840871022,67.17420435510887,65.49978852596315,67.1544472361809,12679281.0
2019-10-02,68.27,68.59,67.005,67.15,14629335.0,0.0,1.0,67.4409254606365,67.75703936348408,66.1912876884422,66.33452680067002,14629335.0
2019-10-01,70.83,70.91,68.91,68.95,11429239.0,0.0,1.0,69.96983668341709,70.04886515912897,68.07315326633166,68.1126675041876,11429239.0
2019-09-30,71.24,71.45,70.58,70.61,10158063.0,0.0,1.0,70.37485762144053,70.58230737018425,69.72287269681742,69.75250837520937,10158063.0
2019-09-27,70.7,71.67,70.63,71.48,8223997.0,0.0,1.0,69.84141541038525,70.79963567839197,69.77226549413734,70.61194304857622,8223997.0
2019-09-26,71.22,71.35,70.6826,70.97,8442417.0,0.0,1.0,70.35510050251256,70.48352177554438,69.82422671691792,70.10813651591289,8442417.0
2019-09-25,70.98,71.47,70.82,71.35,8049647.0,0.0,1.0,70.11801507537689,70.60206448911222,69.95995812395309,70.48352177554438,8049647.0
2019-09-24,71.81,71.87,70.815,71.14,14306740.0,0.0,1.0,70.93793551088777,70.9972068676717,69.9550188442211,70.27607202680066,14306740.0
2019-09-23,71.52,72.36,71.46,72.13,7805562.0,0.0,1.0,70.65145728643215,71.48125628140703,70.59218592964824,71.25404941373533,7805562.0
2019-09-20,72.49,72.5,71.855,72.08,19855483.0,0.0,1.0,71.60967755443885,71.61955611390285,70.98238902847571,71.2046566164154,19855483.0
2019-09-19,72.97,73.19,72.19,72.33,8312666.0,0.0,1.0,72.08384840871021,72.30117671691792,71.31332077051925,71.45162060301507,8312666.0
2019-09-18,72.65,72.97,72.33,72.82,7374579.0,0.0,1.0,71.76773450586265,72.08384840871021,71.45162060301507,71.93567001675041,7374579.0
2019-09-17,73.82,74.08,72.63,73.17,14644016.0,0.0,1.0,72.92352596314907,73.18036850921273,71.74797738693466,72.28141959798995,14644016.0
2019-09-16,75.04,75.18,73.6,73.73,19821217.0,0.0,1.0,74.12871021775544,74.26701005025126,72.70619765494136,72.8346189279732,19821217.0
2019-09-13,72.26,72.72,72.06,72.64,7335935.0,0.0,1.0,71.38247068676718,71.83688442211054,71.18489949748744,71.75785594639866,7335935.0
2019-09-12,70.98,72.155,70.7,71.98,9094986.0,0.0,1.0,70.11801507537689,71.27874581239531,69.84141541038525,71.10587102177554,9094986.0
2019-09-11,72.78,72.84,71.55,71.93,10524149.0,0.0,1.0,71.89615577889447,71.95542713567839,70.68109296482412,71.05647822445562,10524149.0
2019-09-10,72.14,72.85,71.62,72.07,13808634.0,0.0,1.0,71.26392797319933,71.96530569514238,70.75024288107203,71.19477805695142,13808634.0
2019-09-09,71.16,72.07,70.98,71.49,12418154.0,0.0,1.0,70.29582914572863,71.19477805695142,70.11801507537689,70.6218216080402,12418154.0
2019-09-06,70.35,70.95,70.12,70.93,10417759.0,0.0,1.0,69.49566582914572,70.08837939698492,69.26845896147404,70.06862227805695,10417759.0
